-0.439003, -2.40365, -2.00834, -0.138098, 1.40638, 0.939085:
-0.439003, -2.40365, -2.00834, -0.138098, 1.40638, 0.939085:
-0.439003, -2.35419, -2.01884, -0.177053, 1.40638, 0.939085:
-0.439003, -2.30521, -2.02673, -0.218151, 1.40638, 0.939085:
-0.439003, -2.25689, -2.03196, -0.261238, 1.40638, 0.939085:
-0.439003, -2.20943, -2.03452, -0.306138, 1.40638, 0.939085:
-0.439003, -2.16303, -2.0344, -0.352663, 1.40638, 0.939085:
-0.439003, -2.11788, -2.03159, -0.400612, 1.40638, 0.939085:
-0.439003, -2.07418, -2.02612, -0.44978, 1.40638, 0.939085:
-0.439003, -2.03212, -2.018, -0.49996, 1.40638, 0.939085:
-0.439003, -1.99187, -2.00727, -0.550949, 1.40638, 0.939085:
-0.439003, -1.95358, -1.99395, -0.602557, 1.40638, 0.939085:
-0.439003, -1.91738, -1.9781, -0.654606, 1.40638, 0.939085:
-0.439003, -1.88339, -1.95976, -0.706934, 1.40638, 0.939085:
-0.439003, -1.8517, -1.93899, -0.759402, 1.40638, 0.939085:
-0.439003, -1.82237, -1.91583, -0.811891, 1.40638, 0.939085:
-0.439003, -1.79545, -1.89033, -0.864303, 1.40638, 0.939085:
